Date,Community,State,Dead,Injured,Total,Description
"July 28, 2019",Chippewa Falls,Wisconsin,5[n 1],2,7,"A gunman shot six people, four fatally, before killing himself.[215]"
"July 28, 2019",Gilroy,California,4[n 1],17,21,"Gilroy Garlic Festival shooting: Sixteen people were shot, four fatally, including a gunman and two children, at the Gilroy Garlic Festival.[216]"
"July 28, 2019",Uniontown,Pennsylvania,0,4,4,Four people were wounded on two separate streets in connection with a large party.[217]
"July 28, 2019",Philadelphia (6),Pennsylvania,1,5,6,One man was killed and five were injured by an unknown perpetrator as the victims were preparing to shoot a rap video.[218]
"July 28, 2019",Chicago (20),Illinois,0,4,4,One woman and three men were wounded in a drive-by shooting outside of a Lawndale gas station.[219]
"July 28, 2019",Washington (6),District of Columbia,0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.[220]
"July 27, 2019",Wichita (3),Kansas,1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.[221]
"July 27, 2019",New York City (3),New York,1,12,13,"Thirteen people were shot, one fatally, at a playground in Brownsville.[222]"
"July 25, 2019",Albemarle,North Carolina,3[n 1],1,4,"Officers responded to a call at a residence and discovered three deceased victims, and one wounded male, resulting from a double murder–suicide.[223]"
"July 25, 2019",Los Angeles (4),California,4,2,6,"A man killed four people, including his father and brother, and wounded two more at a total of four different crime scenes across the San Fernando Valley. Two of the wounded later died, bringing the death toll to 4 people.[224][225] The shooter was sentenced to life in prison in 2023.[226]"
"July 23, 2019",Pembroke Park,Florida,2,2,4,Two men were killed and two others were wounded after an argument between a group escalated into a shooting.[227]
"July 21, 2019",Chicago (19),Illinois,0,4,4,"A gunman opened fire on a group of people, wounding four, as they congregated outside of a gas station.[228]"
"July 21, 2019",Washington (5),District of Columbia,0,4,4,"Four people were injured in a shooting, which was captured by surveillance video.[229]"
"July 20, 2019",Jersey City (1),New Jersey,0,6,6,Six people were wounded in an overnight shooting.[230]
"July 20, 2019",Clairton,Pennsylvania,0,4,4,Four teenagers—between the ages of 14 and 18—were wounded in a shooting at a graduation party.[231]
"July 20, 2019",Chicago (18),Illinois,0,7,7,"Seven people were wounded in a shooting in Lincoln Park, after an argument between two groups escalated.[232]"
"July 18, 2019",Chicago (17),Illinois,1,3,4,One woman was killed and three people were injured on a porch at a home in Garfield Park in Chicago's West Side.[233]
