Date,Community,Dead,Injured,Total,Description
"August 21, 2018","Memphis, Tennessee (5)",0,6,6,"Six people were wounded by gunfire in a shooting outside of an apartment complex, following a large fight in the same location the previous day. One of the wounded men was arrested, but charges against him were later dropped.[117]"
"August 20, 2018","Jackson, Tennessee",1,4,5,Five people were injured in a shooting at a bar. One of the victims later died of his injuries.[118][119]
"August 20, 2018","Cleveland, Ohio (3)",1,3,4,A fight over drugs resulted in one person being killed and three others being wounded.[120][121]
"August 19, 2018","Chicago, Illinois (22)",0,5,5,Five were wounded in a shooting after a softball game in the Grand Crossing neighborhood of Chicago.[122]
"August 19, 2018","Detroit, Michigan (4)",1,3,4,One person was killed and three others were wounded in a drive-by shooting at a family gathering.[123][124]
"August 18, 2018","Trenton, New Jersey (2)",0,5[n 7],5,"Four people were wounded by gunfire following an event where school supplies were distributed to children. A fifth person, a child, received minor injuries after being struck by a dirt bike operated by one of the attackers.[125]"
"August 18, 2018","New York City, New York (5)",0,4,4,Four people were injured during gunfire during a drive-by shooting following a fight in a Bronx lounge.[126]
"August 17, 2018","Chicago, Illinois (21)",0,7,7,Seven people were wounded in a shooting in the Englewood neighborhood of Chicago.[127]
"August 15, 2018","Greenwood, South Carolina",0,5,5,Five people were injured when they were shot during a backyard gathering to mourn the death of a family member who had died in a car accident earlier that month.[128]
"August 14, 2018","Wyncote, Pennsylvania",0,5,5,"After a dispute at a grocery store checkout line, a man pulled a handgun from his sister's waistband and wounded five people. The suspect was arrested.[129]"
"August 12, 2018","Clearlake, California",4[n 1],1,5,A father killed three of his children and wounded the fourth before killing himself.[130]
"August 12, 2018","Pittsburgh, Pennsylvania (1)",0,4,4,A woman shot and injured four people in a street fight in the East Liberty neighborhood of Pittsburgh. She later turned herself in to police.[131]
"August 11, 2018","Columbus, Ohio",0,4,4,Two adults and two children were wounded in a shooting at a party at a park in north Columbus.[132]
"August 11, 2018","San Francisco, California (3)",1,4,5,One person was killed and four others were shot in an early-morning shooting in the Crocker-Amazon neighborhood of San Francisco.[133]
"August 11, 2018","Thornton, Colorado",1,3,4,"After being kicked out of a sports bar following several fights, a man returned with a gun and killed a bartender. Three others were wounded by gunfire. The shooter was taken into custody.[134]"
"August 10, 2018","St. Louis, Missouri (6)",0,4,4,A man wounded four people at a gas station after shooting at them from his truck. He was arrested by police.[135]
"August 10, 2018","Detroit, Michigan (3)",0,4,4,Four people were wounded by a gunman who was later taken into custody.[136]
"August 8, 2018","Paterson, New Jersey",0,4,4,Four people were wounded by a gunman.[137]
"August 8, 2018","Philadelphia, Pennsylvania (6)",2,4,6,Two people were killed and four were injured in a drive-by shooting in North Philadelphia.[138]
"August 5, 2018","Chicago, Illinois (20)",1,4,5,One person was killed and four were injured in the Austin neighborhood of Chicago.[139]
